id1,id2,weight
pop,scandipop,1
pop,swedish electropop,1
pop,swedish pop,1
pop,post-teen pop,1
pop,dance pop,1
pop,indietronica,1
pop,metropopolis,1
pop,uk pop,1
pop,electropop,1
pop,indie poptimism,1
pop,girl group,1
pop,talent show,1
pop,boy band,1
pop,hip pop,1
pop,canadian contemporary r&b,1
pop,canadian pop,1
pop,candy pop,1
pop,viral pop,1
pop,uk dance,1
pop,australian hip hop,1
pop,australian pop,1
pop,art pop,1
pop,urban contemporary,1
pop,piano rock,1
pop,complextro,1
pop,edm,1
pop,german techno,1
pop,pop dance,1
pop,r&b,1
pop,barbadian pop,1
pop,queens hip hop,1
pop,rap,1
pop,neo soul,1
pop,pop rap,1
pop,pop r&b,1
pop,alt z,1
pop,bedroom pop,1
pop,electro house,1
pop,house,1
pop,progressive house,1
pop,tropical house,1
pop,british soul,1
pop,pop soul,1
pop,miami hip hop,1
pop,singer-songwriter pop,1
rap,southern hip hop,1
rap,trap,1
rap,hip hop,1
rap,melodic rap,1
rap,east coast hip hop,1
rap,drill,1
rap,gangster rap,1
rap,r&b,1
rap,rage rap,1
rap,brooklyn drill,1
rock,metal,1
rock,hard rock,1
rock,classic rock,1
rock,garage rock,1
rock,blues rock,1
rock,alternative rock,1
rock,post-grunge,1
rock,grunge,1
rock,modern rock,1
rock,psychedelic rock,1
rock,glam metal,1
rock,rap metal,1
rock,rap rock,1
rock,alternative metal,1
rock,nu metal,1
rock,southern rock,1
rock,glam rock,1
rock,art rock,1
rock,punk,1
rock,progressive rock,1
rock,symphonic rock,1
rock,britpop,1
rock,madchester,1
rock,album rock,1
rock,funk rock,1
rock,new wave,1
rock,baroque pop,1
rock,speed metal,1
rock,thrash metal,1
rock,skate punk,1
rock,pop punk,1
rock,folk rock,1
rock,folk,1
rock,singer-songwriter,1
rock,roots rock,1
rock,country rock,1
rock,indie rock,1
rock,soft rock,1
rock,emo,1
rock,blues,1
rock,groove metal,1
urbano latino,reggaeton,1
urbano latino,trap latino,1
urbano latino,trap,1
urbano latino,latin hip hop,1
urbano latino,colombian pop,1
urbano latino,bachata,1
hip hop,east coast hip hop,1
hip hop,gangster rap,1
hip hop,hardcore hip hop,1
hip hop,southern hip hop,1
hip hop,rap,1
hip hop,alternative hip hop,1
hip hop,rap rock,1
hip hop,trap,1
hip hop,r&b,1
hip hop,underground hip hop,1
trap latino,reggaeton,1
trap latino,urbano latino,1
trap latino,trap,1
trap latino,latin hip hop,1
trap latino,mexican hip hop,1
trap latino,colombian pop,1
reggaeton,trap latino,1
reggaeton,urbano latino,1
reggaeton,latin hip hop,1
reggaeton,trap,1
reggaeton,colombian pop,1
reggaeton,bachata,1
dance pop,pop,1
dance pop,dancehall,1
dance pop,art pop,1
dance pop,hip hop,1
dance pop,r&b,1
dance pop,new jack swing,1
dance pop,edm,1
dance pop,east coast hip hop,1
dance pop,southern hip hop,1
pop rap,southern hip hop,1
pop rap,rap,1
pop rap,hip hop,1
pop rap,east coast hip hop,1
pop rap,r&b,1
pop rap,trap,1
pop rap,dancehall,1
pop rap,gangster rap,1
pop rap,reggae,1
pop rap,grime,1
modern rock,baroque pop,1
modern rock,indie rock,1
modern rock,garage rock,1
modern rock,rock,1
modern rock,emo,1
modern rock,pop punk,1
modern rock,alternative rock,1
modern rock,blues rock,1
modern rock,post-grunge,1
modern rock,grunge,1
modern rock,indie folk,1
modern rock,metalcore,1
modern rock,screamo,1
modern rock,metal,1
modern rock,folk,1
modern rock,folk rock,1
modern rock,britpop,1
modern rock,punk,1
modern rock,skate punk,1
modern rock,new rave,1
modern rock,alternative dance,1
modern rock,indie pop,1
modern rock,chamber pop,1
pov  indie,bedroom pop,1
pov  indie,emo,1
pov  indie,indie rock,1
pov  indie,indie pop,1
pov  indie,modern rock,1
pov  indie,pop punk,1
pov  indie,vocaloid,1
musica mexicana,corrido,1
musica mexicana,banda,1
musica mexicana,grupera,1
musica mexicana,ranchera,1
musica mexicana,mariachi,1
musica mexicana,tejano,1
musica mexicana,mexican hip hop,1
musica mexicana,corridos tumbados,1
latin pop,colombian pop,1
latin pop,mariachi,1
latin pop,ranchera,1
latin pop,bolero,1
latin pop,vallenato,1
latin pop,latin rock,1
latin pop,mexican rock,1
latin pop,reggaeton,1
latin pop,argentine rock,1
